scheme_code,scheme_name,amc,category,total_aum_cr,reference_plan,reference_plan_name,nav,launch_date
151130,HSBC Small Cap Fund,HSBC Asset Management (India) Private Ltd.,Equity Scheme - Small Cap Fund,15075.77,direct,HSBC Small Cap Fund - Direct Growth,92.7737,2014-04-22
118525,Franklin India Small Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Small Cap Fund,12755.71,direct,Franklin India Small Cap Fund - Direct - Growth,193.8961,2005-11-16
145206,Tata Small Cap Fund,Tata Asset Management Limited,Equity Scheme - Small Cap Fund,10589.33,direct,Tata Small Cap Fund-Direct Plan-Growth,40.927,2018-10-19
145137,Invesco India Smallcap Fund,Invesco Asset Management (India) Private Limited,Equity Scheme - Small Cap Fund,9361.71,direct,Invesco India Smallcap Fund - Direct Plan - Growth,49.08,2018-10-10
120591,ICICI Prudential Smallcap Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Small Cap Fund,8128.0,direct,ICICI Prudential Smallcap Fund - Direct Plan - Growth,97.16,2007-08-23
152237,Motilal Oswal Small Cap Fund,Motilal Oswal Asset Management Company Limited,Equity Scheme - Small Cap Fund,5543.89,direct,Motilal Oswal Small Cap Fund - Direct - Growth,15.5484,2023-12-05
146196,Edelweiss Small Cap Fund,Edelweiss Asset Management Limited,Equity Scheme - Small Cap Fund,5358.58,direct,Edelweiss Small Cap Fund - Direct Plan - Growth,49.96,2019-01-18
148618,UTI Small Cap Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Small Cap Fund,4499.49,direct,UTI Small Cap Fund - Direct Plan - Growth Option,28.2239,2020-12-02
150915,Mahindra Manulife Small Cap Fund,Mahindra Manulife Investment Management Pvt Ltd,Equity Scheme - Small Cap Fund,4029.06,direct,Mahindra Manulife Small Cap Fund - Direct Plan - Growth,21.2514,2022-11-21
153196,Mirae Asset Small Cap Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Equity Scheme - Small Cap Fund,3212.3,direct,Mirae Asset Small Cap Fund - Direct Plan - Growth,11.748,2025-01-10
147919,ITI Small Cap Fund,ITI Asset Management Limited,Equity Scheme - Small Cap Fund,2671.89,direct,ITI Small Cap Fund - Direct Plan - Growth Option,34.1505,2020-01-27
129649,Union Small Cap Fund,Union Asset Management Company Private Limited,Equity Scheme - Small Cap Fund,1721.24,direct,Union Small Cap Fund - Direct Plan - Growth Option,60.38,2014-05-20
153612,Bajaj Finserv Small Cap Fund,Bajaj Finserv Asset Management Limited,Equity Scheme - Small Cap Fund,1578.79,direct,BAJAJ FINSERV SMALL CAP FUND - DIRECT - GROWTH,10.305,2025-06-27
149019,PGIM India Small Cap Fund,PGIM India Asset Management Private Limite,Equity Scheme - Small Cap Fund,1474.17,direct,PGIM India Small Cap Fund - Direct Plan- Growth Option,18.13,2021-07-09
152939,TRUSTMF SMALL CAP FUND,Trust Asset Management Private Limited,Equity Scheme - Small Cap Fund,1333.59,direct,TRUSTMF SMALL CAP FUND -DIRECT PLAN-GROWTH,12.55,2024-10-11
152128,Baroda BNP Paribas Small Cap Fund,Baroda BNP Paribas Asset Management India Private Limited,Equity Scheme - Small Cap Fund,1152.02,direct,Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option,13.7314,2023-10-06
152614,JM Small Cap Fund,JM Financial Asset Management Limited,Equity Scheme - Small Cap Fund,635.3,direct,JM Small Cap Fund (Direct) - Growth Option,10.9504,2024-05-27
120323,ICICI Prudential Value Fund (erstwhile Value Discovery Fund),ICICI Prudential Asset Management Company Limited,Equity Scheme - Value Fund,59945.12,direct,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan - Growth,502.83,2004-07-09
118481,Bandhan Value Fund,Bandhan AMC Limited,Equity Scheme - Value Fund,9995.11,direct,Bandhan Value Fund - Direct Plan - Growth,164.394,2008-01-09
120751,UTI Value Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Value Fund,9685.71,direct,UTI Value Fund - Direct Plan - Growth Option,176.982,2005-07-16
118784,Nippon India Value Fund,Nippon Life India Asset Management Limited,Equity Scheme - Value Fund,8869.96,direct,Nippon India Value Fund - Direct Plan Growth Plan,242.267,2005-05-10
119231,Tata Value Fund,Tata Asset Management Limited,Equity Scheme - Value Fund,8686.19,direct,Tata Value Fund -Direct Plan Growth Option,383.631,2004-05-17
118494,Templeton India Value Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Value Fund,2047.12,direct,Templeton India Value Fund - Direct - Growth,777.0108,1996-09-10
149166,Axis Value Fund,Axis Asset Management Co. Ltd.,Equity Scheme - Value Fund,1389.82,direct,Axis Value Fund - Direct Plan - Growth,20.12,2021-09-02
119549,Sundaram Value Fund,Sundaram Asset Management Company Ltd,Equity Scheme - Value Fund,1375.88,direct,Sundaram Value Fund Direct Plan - Growth,219.5818,1999-11-22
103490,Quantum Value Fund,Quantum Asset Management Company Private Limited,Equity Scheme - Value Fund,1149.36,direct,Quantum Value Fund - Direct Plan Growth Option,122.58,2006-02-08
151755,Baroda BNP Paribas Value Fund,Baroda BNP Paribas Asset Management India Private Limited,Equity Scheme - Value Fund,1097.54,direct,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,14.0053,2023-05-17
153303,Mahindra Manulife Value Fund,Mahindra Manulife Investment Management Pvt Ltd,Equity Scheme - Value Fund,682.54,direct,Mahindra Manulife Value Fund - Direct Plan - Growth,12.4606,2025-02-07
145473,Union Value Fund,Union Asset Management Company Private Limited,Equity Scheme - Value Fund,364.47,direct,Union Value Fund - Direct Plan - Growth Option,29.87,2018-11-14
148972,ITI Value Fund,ITI Asset Management Limited,Equity Scheme - Value Fund,338.68,direct,ITI Value Fund - Direct Plan - Growth Option,18.3051,2021-05-25
152018,LIC MF Value Fund,LIC Mutual Fund Asset Management Limited,Equity Scheme - Value Fund,194.26,direct,LIC MF Value Fund-Direct Plan-Growth,28.6319,2018-07-30
