,implied_excess_return
GSEC,0.0010938092269887681
NIFTY50,0.06482454756371665
AUTO,0.0787079759137937
BANK,0.0770451469581419
FINSERV,0.07432362963674205
FMCG,0.03862313689271964
IT,0.056231757845614995
OILGAS,0.07887826228346806
PHARMA,0.05025586496411564
REITS,0.03258350428407445
GOLD,0.0009132743490990401
