Date,GSEC,NIFTY50,AUTO,BANK,FINSERV,FMCG,IT,OILGAS,PHARMA,REITS,GOLD
2015-10-31,-0.0005695089247096385,0.014706437368692482,0.04283081602144434,0.008027276476362477,0.021786013251798186,0.008100056873272754,-0.045312123403229765,0.0544169349764998,0.019460087082728617,,0.02247591118558856
2015-11-30,-0.0030871989440047765,-0.016185623248778813,0.0481836887276863,0.00437350543086823,-0.012816507328181626,0.007965384749208493,-0.024453943187456972,0.020507942747636232,-0.12735238398955218,,-0.060701042755003876
2015-12-31,0.00826284829497359,0.0013988217132416825,-0.02677481917270408,-0.029155957407747457,-0.0070611237314242015,-0.004236003067280336,0.0005845082991253747,0.03153492435263816,0.04094701946419099,,-0.00577971646673936
2016-01-31,0.004743417700626473,-0.04817306058756543,-0.07870619946091639,-0.08271974093203016,-0.07810430434259075,-0.0524943481910497,0.0021047843710841896,-0.021235238025379632,-0.017356960755631645,,0.0632225512778326
2016-02-29,0.009806302316944349,-0.07622082223294613,-0.06742230491581247,-0.1015306911302376,-0.10273056947048165,-0.04186822003224866,-0.08523827111599613,-0.1046713244787213,-0.05003041039142209,,0.09309427032826445
2016-03-31,0.017441737100823973,0.10753465339449408,0.14033529320530724,0.15740621235587682,0.12675429207518074,0.07814647930349805,0.10029771170610213,0.1084807670357264,-0.015988072745507176,,-0.03216368749882026
2016-04-30,0.007466058630110295,0.014395740721596217,0.02489613729660234,0.040476035597352134,0.0220840806152538,-0.0013382816867915093,-0.00999619781949368,0.011059167576250584,0.02767274993971336,,0.05981472452462211
2016-05-31,0.0038985682249439435,0.03952966954572101,0.05205122482340929,0.04917534980649019,0.06967597067527187,0.039718406906579906,0.017827397566149372,-0.009705870371124692,-0.02636973413322108,,-0.02631482094880566
2016-06-30,0.007643136985359789,0.015643190647173455,0.016438466125407114,0.01784812353512022,0.017711048552462305,0.05295870458759411,-0.024193017633612257,0.043777103580672216,0.013328240317585838,,0.049780768067735126
2016-07-31,0.025142903916727022,0.04232149859732748,0.06849245522493308,0.05674531931264437,0.07063580419771465,0.028710990376449752,-0.018601367787305034,0.07907381558420234,0.049833961586788655,,0.006841176682389261
2016-08-31,0.009614872777600203,0.017097875788620875,0.04502763743486571,0.04402698232219948,0.03846129310069846,0.01711514540788217,-0.03364701785894264,0.04651028303064053,-0.017790506315586985,,0.005632442870936671
2016-09-30,0.0158370295189576,-0.01992328879379035,0.01333697068897588,-0.02536436960520716,-0.02290151366227633,-0.047204026661594956,-0.024065768388314313,0.027082994020335427,-0.002450137738648994,,0.00467630376415773
2016-10-31,0.008979083406861488,0.0016896697885881995,0.0019143908348540073,0.012332972098497708,0.011379639875264136,-0.00278989232686766,-0.020364738688145367,0.057489296151145064,0.015269173719570706,,-0.014512246920571958
2016-11-30,0.04477237654320976,-0.046512167128465065,-0.09301885853610004,-0.04588048792355903,-0.056177190953961675,-0.04627373213325603,0.0004909399268051562,-0.032644612607980794,-0.04777844620144389,,-0.049762948064075774
2016-12-31,-0.013447560667885217,-0.004705453219040701,0.003066777853365288,-0.02418965202546719,-0.024290484690013048,0.012993034913290069,0.030889255674017235,0.02511799144648519,-0.07337963276338999,,-0.03063519361971545
2017-01-31,0.012701343747270721,0.0458721200127048,0.07613421937812781,0.07360594591026115,0.06890732477842043,0.051968044868243135,-0.052960550039666376,0.042967199436176884,-0.002985292685302343,,0.025773999844030282
2017-02-28,-0.02537361242869629,0.03717893310595377,-0.018611979365200426,0.05596165030758149,0.04666275126461161,0.023155686552021715,0.08452556226836583,0.07313827377207494,0.034074645747751875,,0.027160071463869118
2017-03-31,0.017659513952532846,0.03312649218433261,0.023361799754522572,0.040611920561938186,0.053988825737006474,0.05390317930719557,0.0020878292661232756,0.011696301478925974,-0.016438123219793765,,-0.033047758266565586
2017-04-30,-0.012887478339720149,0.014203569968660457,0.037949636647031326,0.042627010163611034,0.03798243705849358,0.005653653211453502,-0.07096442669282688,0.06406049535219793,-0.027878764593728844,,0.010601450523374911
