,implied_excess_return
GSEC,9.115076891572183e-05
NIFTY50,0.005402045630309622
AUTO,0.0065589979928160095
BANK,0.0064204289131783755
FINSERV,0.006193635803061757
FMCG,0.0032185947410598888
IT,0.004685979820467839
OILGAS,0.006573188523622293
PHARMA,0.0041879887470095
REITS,0.002715292023672754
GOLD,7.610619575827311e-05
